date,heure,température 1,température 2,humidité,pression
11/09/18,23:54:00,25.0,25.0,45.0,1013.0
11/09/18,23:57:00,25.0,25.0,45.0,1013.0
11/10/18,00:03:00,25.0,25.0,45.0,1013.0
11/10/18,00:06:00,25.0,25.0,45.0,1013.0
11/10/18,00:09:00,25.0,25.0,45.0,1013.0
11/10/18,00:12:00,25.0,25.0,45.0,1013.0
11/10/18,00:15:00,25.0,25.0,45.0,1013.0
11/10/18,00:18:00,25.0,25.0,45.0,1013.0
11/10/18,00:21:00,25.0,25.0,45.0,1013.0
11/10/18,00:24:00,25.0,25.0,45.0,1013.0
11/10/18,00:27:00,25.0,25.0,45.0,1013.0
11/10/18,00:30:00,25.0,25.0,45.0,1013.0
11/10/18,00:33:00,25.0,25.0,45.0,1013.0
11/10/18,00:35:59,25.0,25.0,45.0,1013.0
11/10/18,00:39:00,25.0,25.0,45.0,1013.0
11/10/18,00:42:00,25.0,25.0,45.0,1013.0
11/10/18,00:45:00,25.0,25.0,45.0,1013.0
11/10/18,00:48:00,25.0,25.0,45.0,1013.0
11/10/18,00:50:59,25.0,25.0,45.0,1013.0
11/10/18,00:54:00,25.0,25.0,45.0,1013.0
11/10/18,00:57:00,25.0,25.0,45.0,1013.0
11/10/18,01:03:00,25.0,25.0,45.0,1013.0
11/10/18,01:06:00,25.0,25.0,45.0,1013.0
11/10/18,01:09:00,25.0,25.0,45.0,1013.0
11/10/18,01:12:00,25.0,25.0,45.0,1013.0
11/10/18,01:15:00,25.0,25.0,45.0,1013.0
11/10/18,01:18:00,25.0,25.0,45.0,1013.0
11/10/18,01:21:00,25.0,25.0,45.0,1013.0
11/10/18,01:24:00,25.0,25.0,45.0,1013.0
11/10/18,01:27:00,25.0,25.0,45.0,1013.0
11/10/18,01:30:00,25.0,25.0,45.0,1013.0
11/10/18,01:33:00,25.0,25.0,45.0,1013.0
11/10/18,01:36:00,25.0,25.0,45.0,1013.0
11/10/18,01:39:00,25.0,25.0,45.0,1013.0
11/10/18,01:42:00,25.0,25.0,45.0,1013.0
11/10/18,01:44:59,25.0,25.0,45.0,1013.0
11/10/18,01:48:00,25.0,25.0,45.0,1013.0
11/10/18,01:51:00,25.0,25.0,45.0,1013.0
11/10/18,01:54:00,25.0,25.0,45.0,1013.0
11/10/18,01:57:00,25.0,25.0,45.0,1013.0
11/10/18,02:03:00,25.0,25.0,45.0,1013.0
11/10/18,02:06:00,25.0,25.0,45.0,1013.0
11/10/18,02:09:00,25.0,25.0,45.0,1013.0
11/10/18,02:12:00,25.0,25.0,45.0,1013.0
11/10/18,02:15:00,25.0,25.0,45.0,1013.0
11/10/18,02:18:00,25.0,25.0,45.0,1013.0
11/10/18,02:21:00,25.0,25.0,45.0,1013.0
11/10/18,02:24:00,25.0,25.0,45.0,1013.0
11/10/18,02:26:59,25.0,25.0,45.0,1013.0
11/10/18,02:30:00,25.0,25.0,45.0,1013.0
11/10/18,02:33:00,25.0,25.0,45.0,1013.0
11/10/18,02:36:00,25.0,25.0,45.0,1013.0
11/10/18,02:39:00,25.0,25.0,45.0,1013.0
11/10/18,02:42:00,25.0,25.0,45.0,1013.0
11/10/18,02:45:00,25.0,25.0,45.0,1013.0
11/10/18,02:48:00,25.0,25.0,45.0,1013.0
11/10/18,02:51:00,25.0,25.0,45.0,1013.0
11/10/18,02:54:00,25.0,25.0,45.0,1013.0
11/10/18,02:57:00,25.0,25.0,45.0,1013.0
11/10/18,03:03:00,25.0,25.0,45.0,1013.0
11/10/18,03:06:00,25.0,25.0,45.0,1013.0
11/10/18,03:08:59,25.0,25.0,45.0,1013.0
11/10/18,03:12:00,25.0,25.0,45.0,1013.0
11/10/18,03:15:00,25.0,25.0,45.0,1013.0
11/10/18,03:18:00,25.0,25.0,45.0,1013.0
11/10/18,03:21:00,25.0,25.0,45.0,1013.0
11/10/18,03:24:00,25.0,25.0,45.0,1013.0
11/10/18,03:27:00,25.0,25.0,45.0,1013.0
11/10/18,03:30:00,25.0,25.0,45.0,1013.0
11/10/18,03:33:00,25.0,25.0,45.0,1013.0
11/10/18,03:36:00,25.0,25.0,45.0,1013.0
11/10/18,03:39:00,25.0,25.0,45.0,1013.0
11/10/18,03:42:00,25.0,25.0,45.0,1013.0
11/10/18,03:45:00,25.0,25.0,45.0,1013.0
11/10/18,03:48:00,25.0,25.0,45.0,1013.0
11/10/18,03:51:00,25.0,25.0,45.0,1013.0
11/10/18,03:54:00,25.0,25.0,45.0,1013.0
11/10/18,03:56:59,25.0,25.0,45.0,1013.0
11/10/18,04:03:00,25.0,25.0,45.0,1013.0
11/10/18,04:06:00,25.0,25.0,45.0,1013.0
11/10/18,04:09:00,25.0,25.0,45.0,1013.0
11/10/18,04:12:00,25.0,25.0,45.0,1013.0
11/10/18,04:15:00,25.0,25.0,45.0,1013.0
11/10/18,04:18:00,25.0,25.0,45.0,1013.0
11/10/18,04:21:00,25.0,25.0,45.0,1013.0
11/10/18,04:24:00,25.0,25.0,45.0,1013.0
11/10/18,04:27:00,25.0,25.0,45.0,1013.0
11/10/18,04:30:00,25.0,25.0,45.0,1013.0
11/10/18,04:33:00,25.0,25.0,45.0,1013.0
11/10/18,04:36:00,25.0,25.0,45.0,1013.0
11/10/18,04:39:00,25.0,25.0,45.0,1013.0
11/10/18,04:42:00,25.0,25.0,45.0,1013.0
11/10/18,04:45:00,25.0,25.0,45.0,1013.0
11/10/18,04:48:00,25.0,25.0,45.0,1013.0
11/10/18,04:51:00,25.0,25.0,45.0,1013.0
11/10/18,04:53:59,25.0,25.0,45.0,1013.0
11/10/18,04:56:59,25.0,25.0,45.0,1013.0
11/10/18,05:03:00,25.0,25.0,45.0,1013.0
11/10/18,05:06:00,25.0,25.0,45.0,1013.0
11/10/18,05:09:00,25.0,25.0,45.0,1013.0
11/10/18,05:12:00,25.0,25.0,45.0,1013.0
11/10/18,05:15:00,25.0,25.0,45.0,1013.0
11/10/18,05:18:00,25.0,25.0,45.0,1013.0
11/10/18,05:21:00,25.0,25.0,45.0,1013.0
11/10/18,05:23:59,25.0,25.0,45.0,1013.0
11/10/18,05:27:00,25.0,25.0,45.0,1013.0
11/10/18,05:30:00,25.0,25.0,45.0,1013.0
11/10/18,05:33:00,25.0,25.0,45.0,1013.0
11/10/18,05:36:00,25.0,25.0,45.0,1013.0
11/10/18,05:39:00,25.0,25.0,45.0,1013.0
11/10/18,05:41:59,25.0,25.0,45.0,1013.0
11/10/18,05:45:00,25.0,25.0,45.0,1013.0
11/10/18,05:48:00,25.0,25.0,45.0,1013.0
11/10/18,05:51:00,25.0,25.0,45.0,1013.0
11/10/18,05:54:00,25.0,25.0,45.0,1013.0
11/10/18,05:57:00,25.0,25.0,45.0,1013.0
11/10/18,06:03:00,25.0,25.0,45.0,1013.0
11/10/18,06:06:00,25.0,25.0,45.0,1013.0
11/10/18,06:09:00,25.0,25.0,45.0,1013.0
11/10/18,06:12:00,25.0,25.0,45.0,1013.0
11/10/18,06:15:00,25.0,25.0,45.0,1013.0
11/10/18,06:18:00,25.0,25.0,45.0,1013.0
11/10/18,06:21:00,25.0,25.0,45.0,1013.0
11/10/18,06:24:00,25.0,25.0,45.0,1013.0
11/10/18,06:27:00,25.0,25.0,45.0,1013.0
11/10/18,06:30:00,25.0,25.0,45.0,1013.0
11/10/18,06:33:00,25.0,25.0,45.0,1013.0
11/10/18,06:36:00,25.0,25.0,45.0,1013.0
11/10/18,06:39:00,25.0,25.0,45.0,1013.0
11/10/18,06:42:00,25.0,25.0,45.0,1013.0
11/10/18,06:45:00,25.0,25.0,45.0,1013.0
11/10/18,06:48:00,25.0,25.0,45.0,1013.0
11/10/18,06:51:00,25.0,25.0,45.0,1013.0
11/10/18,06:54:00,25.0,25.0,45.0,1013.0
11/10/18,06:57:00,25.0,25.0,45.0,1013.0
11/10/18,07:03:00,25.0,25.0,45.0,1013.0
11/10/18,07:06:00,25.0,25.0,45.0,1013.0
11/10/18,07:09:00,25.0,25.0,45.0,1013.0
11/10/18,07:12:00,25.0,25.0,45.0,1013.0
11/10/18,07:15:00,25.0,25.0,45.0,1013.0
11/10/18,07:18:00,25.0,25.0,45.0,1013.0
11/10/18,07:21:00,25.0,25.0,45.0,1013.0
11/10/18,07:24:00,25.0,25.0,45.0,1013.0
11/10/18,07:27:00,25.0,25.0,45.0,1013.0
11/10/18,07:33:00,14.8,14.8,71.3,922.1
11/10/18,07:36:00,14.8,14.8,71.3,922.1
11/10/18,07:39:00,14.8,14.8,71.3,922.1
11/10/18,07:42:00,14.8,14.8,71.3,922.1
11/10/18,07:44:59,14.8,14.8,71.3,922.1
11/10/18,07:48:00,14.8,14.8,71.3,922.1
11/10/18,07:51:00,14.8,14.8,71.3,922.1
11/10/18,07:54:00,14.8,14.8,71.3,922.1
11/10/18,07:57:00,14.8,14.8,71.3,922.1
11/10/18,08:03:00,14.8,14.8,71.3,922.1
11/10/18,08:06:00,14.8,14.8,71.3,922.1
11/10/18,08:09:00,14.8,14.8,71.3,922.1
11/10/18,08:12:00,14.8,14.8,71.3,922.1
11/10/18,08:15:00,14.8,14.8,71.3,922.1
11/10/18,08:18:00,14.8,14.8,71.3,922.1
11/10/18,08:21:00,14.8,14.8,71.3,922.1
11/10/18,08:24:00,14.8,14.8,71.3,922.1
11/10/18,08:27:00,14.8,14.8,71.3,922.1
11/10/18,08:30:00,14.8,14.8,71.3,922.1
11/10/18,08:33:00,14.8,14.8,71.3,922.1
11/10/18,08:36:00,14.8,14.8,71.3,922.1
11/10/18,08:38:59,14.8,14.8,71.3,922.1
11/10/18,08:42:00,14.8,14.8,71.3,922.1
11/10/18,08:45:00,33.5,33.5,51.6,1260.0
11/10/18,08:48:00,33.5,33.5,51.6,1260.0
11/10/18,08:51:00,33.5,33.5,51.6,1260.0
11/10/18,08:54:00,33.5,33.5,51.6,1260.0
11/10/18,08:57:00,33.5,33.5,51.6,1260.0
11/10/18,09:03:00,33.5,33.5,51.6,1260.0
11/10/18,09:06:00,33.5,33.5,51.6,1260.0
11/10/18,09:09:00,33.5,33.5,51.6,1260.0
11/10/18,09:12:00,33.5,33.5,51.6,1260.0
11/10/18,09:15:00,33.5,33.5,51.6,1260.0
11/10/18,09:18:00,33.5,33.5,51.6,1260.0
11/10/18,09:21:00,33.5,33.5,51.6,1260.0
11/10/18,09:24:00,33.5,33.5,51.6,1260.0
11/10/18,09:27:00,33.5,33.5,51.6,1260.0
11/10/18,09:29:59,33.5,33.5,51.6,1260.0
11/10/18,09:33:00,33.5,33.5,51.6,1260.0
11/10/18,09:36:00,33.5,33.5,51.6,1260.0
11/10/18,09:39:00,33.5,33.5,51.6,1260.0
11/10/18,09:42:00,33.5,33.5,51.6,1260.0
11/10/18,09:45:00,33.5,33.5,51.6,1260.0
11/10/18,09:48:00,33.5,33.5,51.6,1260.0
11/10/18,09:51:00,33.5,33.5,51.6,1260.0
11/10/18,09:54:00,33.5,33.5,51.6,1260.0
11/10/18,09:57:00,33.5,33.5,51.6,1260.0
11/10/18,10:03:00,33.5,33.5,51.6,1260.0
11/10/18,10:06:00,33.5,33.5,51.6,1260.0
11/10/18,10:09:00,33.5,33.5,51.6,1260.0
11/10/18,10:12:00,33.5,33.5,51.6,1260.0
11/10/18,10:15:00,33.5,33.5,51.6,1260.0
11/10/18,10:18:00,33.5,33.5,51.6,1260.0
11/10/18,10:21:00,33.5,33.5,51.6,1260.0
11/10/18,10:24:00,33.5,33.5,51.6,1260.0
11/10/18,10:27:00,33.5,33.5,51.6,1260.0
11/10/18,10:30:00,33.5,33.5,51.6,1260.0
11/10/18,10:32:59,33.5,33.5,51.6,1260.0
11/10/18,10:36:00,33.5,33.5,51.6,1260.0
11/10/18,10:39:00,33.5,33.5,51.6,1260.0
11/10/18,10:42:00,33.5,33.5,51.6,1260.0
11/10/18,10:44:59,33.5,33.5,51.6,1260.0
11/10/18,10:48:00,33.5,33.5,51.6,1260.0
11/10/18,10:51:00,33.5,33.5,51.6,1260.0
11/10/18,10:54:00,33.5,33.5,51.6,1260.0
11/10/18,10:57:00,33.5,33.5,51.6,1260.0
11/10/18,11:02:59,33.5,33.5,51.6,1260.0
11/10/18,11:06:00,33.5,33.5,51.6,1260.0
11/10/18,11:09:00,33.5,33.5,51.6,1260.0
11/10/18,11:12:00,33.5,33.5,51.6,1260.0
11/10/18,11:15:00,33.5,33.5,51.6,1260.0
11/10/18,11:18:00,33.5,33.5,51.6,1260.0
11/10/18,11:21:00,33.5,33.5,51.6,1260.0
11/10/18,11:24:00,33.5,33.5,51.6,1260.0
11/10/18,11:27:00,33.5,33.5,51.6,1260.0
11/10/18,11:30:00,33.5,33.5,51.6,1260.0
11/10/18,11:33:00,33.5,33.5,51.6,1260.0
11/10/18,11:36:00,33.5,33.5,51.6,1260.0
11/10/18,11:39:00,33.5,33.5,51.6,1260.0
11/10/18,11:42:00,33.5,33.5,51.6,1260.0
11/10/18,11:45:00,33.5,33.5,51.6,1260.0
11/10/18,11:48:00,33.5,33.5,51.6,1260.0
11/10/18,11:51:00,33.5,33.5,51.6,1260.0
11/10/18,11:54:00,33.5,33.5,51.6,1260.0
11/10/18,11:57:00,33.5,33.5,51.6,1260.0
11/10/18,12:03:00,33.5,33.5,51.6,1260.0
11/10/18,12:06:00,33.5,33.5,51.6,1260.0
11/10/18,12:09:00,33.5,33.5,51.6,1260.0
11/10/18,12:12:00,33.5,33.5,51.6,1260.0
11/10/18,12:15:00,33.5,33.5,51.6,1260.0
11/10/18,12:18:00,33.5,33.5,51.6,1260.0
11/10/18,12:21:00,33.5,33.5,51.6,1260.0
11/10/18,12:24:00,33.5,33.5,51.6,1260.0
11/10/18,12:27:00,33.5,33.5,51.6,1260.0
11/10/18,12:30:00,33.5,33.5,51.6,1260.0
11/10/18,12:33:00,33.5,33.5,51.6,1260.0
11/10/18,12:36:00,33.5,33.5,51.6,1260.0
11/10/18,12:38:59,33.5,33.5,51.6,1260.0
11/10/18,12:42:00,33.5,33.5,51.6,1260.0
11/10/18,12:44:59,33.5,33.5,51.6,1260.0
11/10/18,12:47:59,33.5,33.5,51.6,1260.0
11/10/18,12:51:00,33.5,33.5,51.6,1260.0
11/10/18,12:54:00,33.5,33.5,51.6,1260.0
11/10/18,12:57:00,33.5,33.5,51.6,1260.0
11/10/18,13:03:00,33.5,33.5,51.6,1260.0
11/10/18,13:06:00,33.5,33.5,51.6,1260.0
11/10/18,13:09:00,33.5,33.5,51.6,1260.0
11/10/18,13:12:00,22.8,22.8,32.2,918.6
11/10/18,13:15:00,22.8,22.8,32.2,918.6
11/10/18,13:18:00,22.8,22.8,32.2,918.6
11/10/18,13:21:00,22.8,22.8,32.2,918.6
11/10/18,13:24:00,22.8,22.8,32.2,918.6
11/10/18,13:27:00,22.8,22.8,32.2,918.6
11/10/18,13:30:00,22.8,22.8,32.2,918.6
11/10/18,13:33:00,22.8,22.8,32.2,918.6
11/10/18,13:36:00,22.8,22.8,32.2,918.6
11/10/18,13:39:00,22.8,22.8,32.2,918.6
11/10/18,13:41:59,22.8,22.8,32.2,918.6
11/10/18,13:45:00,22.8,22.8,32.2,918.6
11/10/18,13:48:00,22.8,22.8,32.2,918.6
11/10/18,13:51:00,22.8,22.8,32.2,918.6
11/10/18,13:54:00,22.8,22.8,32.2,918.6
11/10/18,13:57:00,22.8,22.8,32.2,918.6
11/10/18,14:03:00,22.8,22.8,32.2,918.6
11/10/18,14:06:00,22.8,22.8,32.2,918.6
11/10/18,14:09:00,22.8,22.8,32.2,918.6
11/10/18,14:12:00,22.8,22.8,32.2,918.6
11/10/18,14:15:00,22.8,22.8,32.2,918.6
11/10/18,14:18:00,22.8,22.8,32.2,918.6
11/10/18,14:21:00,22.8,22.8,32.2,918.6
11/10/18,14:24:00,22.8,22.8,32.2,918.6
11/10/18,14:27:00,22.8,22.8,32.2,918.6
11/10/18,14:30:00,22.8,22.8,32.2,918.6
11/10/18,14:33:00,22.8,22.8,32.2,918.6
11/10/18,14:35:59,22.8,22.8,32.2,918.6
11/10/18,14:39:00,22.8,22.8,32.2,918.6
11/10/18,14:41:59,22.8,22.8,32.2,918.6
11/10/18,14:45:00,22.8,22.8,32.2,918.6
11/10/18,14:47:59,22.8,22.8,32.2,918.6
11/10/18,14:51:00,22.8,22.8,32.2,918.6
11/10/18,14:54:00,22.8,22.8,32.2,918.6
11/10/18,14:57:00,22.8,22.8,32.2,918.6
11/10/18,15:03:00,22.8,22.8,32.2,918.6
11/10/18,15:06:00,22.8,22.8,32.2,918.6
11/10/18,15:08:59,22.8,22.8,32.2,918.6
11/10/18,15:12:00,22.8,22.8,32.2,918.6
11/10/18,15:15:00,22.8,22.8,32.2,918.6
11/10/18,15:18:00,22.8,22.8,32.2,918.6
11/10/18,15:21:00,22.8,22.8,32.2,918.6
11/10/18,15:24:00,22.8,22.8,32.2,918.6
11/10/18,15:27:00,22.8,22.8,32.2,918.6
11/10/18,15:30:00,22.8,22.8,32.2,918.6
11/10/18,15:33:00,22.8,22.8,32.2,918.6
11/10/18,15:36:00,22.8,22.8,32.2,918.6
11/10/18,15:39:00,53.6,53.59,27.0,691.0
11/10/18,15:42:00,53.6,53.59,27.0,691.0
11/10/18,15:45:00,53.6,53.59,27.0,691.0
11/10/18,15:48:00,53.6,53.59,27.0,691.0
11/10/18,15:51:00,53.6,53.59,27.0,691.0
11/10/18,15:54:00,53.6,53.59,27.0,691.0
11/10/18,15:57:00,53.6,53.59,27.0,691.0
11/10/18,16:03:00,53.6,53.59,27.0,691.0
11/10/18,16:06:00,53.6,53.59,27.0,691.0
11/10/18,16:08:59,53.6,53.59,27.0,691.0
11/10/18,16:12:00,53.6,53.59,27.0,691.0
11/10/18,16:14:59,53.6,53.59,27.0,691.0
11/10/18,16:18:00,53.6,53.59,27.0,691.0
11/10/18,16:21:00,53.6,53.59,27.0,691.0
11/10/18,16:24:00,53.6,53.59,27.0,691.0
11/10/18,16:27:00,53.6,53.59,27.0,691.0
11/10/18,16:30:00,53.6,53.59,27.0,691.0
11/10/18,16:33:00,53.6,53.59,27.0,691.0
11/10/18,16:35:59,53.6,53.59,27.0,691.0
11/10/18,16:39:00,53.6,53.59,27.0,691.0
11/10/18,16:42:00,53.6,53.59,27.0,691.0
11/10/18,16:45:00,53.6,53.59,27.0,691.0
11/10/18,16:48:00,53.6,53.59,27.0,691.0
11/10/18,16:51:00,53.6,53.59,27.0,691.0
11/10/18,16:53:59,53.6,53.59,27.0,691.0
11/10/18,16:57:00,53.6,53.59,27.0,691.0
11/10/18,17:03:00,53.6,53.59,27.0,691.0
11/10/18,17:06:00,53.6,53.59,27.0,691.0
11/10/18,17:09:00,53.6,53.59,27.0,691.0
11/10/18,17:12:00,53.6,53.59,27.0,691.0
11/10/18,17:15:00,53.6,53.59,27.0,691.0
11/10/18,17:18:00,53.6,53.59,27.0,691.0
11/10/18,17:21:00,53.6,53.59,27.0,691.0
11/10/18,17:24:00,53.6,53.59,27.0,691.0
11/10/18,17:27:00,53.6,53.59,27.0,691.0
11/10/18,17:30:00,53.6,53.59,27.0,691.0
11/10/18,17:33:00,53.6,53.59,27.0,691.0
11/10/18,17:36:00,53.6,53.59,27.0,691.0
11/10/18,17:39:00,53.6,53.59,27.0,691.0
11/10/18,17:42:00,53.6,53.59,27.0,691.0
11/10/18,17:45:00,53.6,53.59,27.0,691.0
11/10/18,17:48:00,53.6,53.59,27.0,691.0
11/10/18,17:51:00,53.6,53.59,27.0,691.0
11/10/18,17:53:59,53.6,53.59,27.0,691.0
11/10/18,17:57:00,53.6,53.59,27.0,691.0
11/10/18,18:03:00,53.6,53.59,27.0,691.0
11/10/18,18:05:59,53.6,53.59,27.0,691.0
11/10/18,18:09:00,53.6,53.59,27.0,691.0
11/10/18,18:12:00,53.6,53.59,27.0,691.0
11/10/18,18:15:00,53.6,53.59,27.0,691.0
11/10/18,18:18:00,53.6,53.59,27.0,691.0
11/10/18,18:21:00,53.6,53.59,27.0,691.0
11/10/18,18:24:00,53.6,53.59,27.0,691.0
11/10/18,18:27:00,53.6,53.59,27.0,691.0
11/10/18,18:30:00,53.6,53.59,27.0,691.0
11/10/18,18:33:00,53.6,53.59,27.0,691.0
11/10/18,18:36:00,53.6,53.59,27.0,691.0
11/10/18,18:39:00,53.6,53.59,27.0,691.0
11/10/18,18:42:00,53.6,53.59,27.0,691.0
11/10/18,18:45:00,53.6,53.59,27.0,691.0
11/10/18,18:48:00,53.6,53.59,27.0,691.0
11/10/18,18:51:00,53.6,53.59,27.0,691.0
11/10/18,18:54:00,53.6,53.59,27.0,691.0
11/10/18,18:57:00,53.6,53.59,27.0,691.0
11/10/18,19:03:00,53.6,53.59,27.0,691.0
11/10/18,19:06:00,53.6,53.59,27.0,691.0
11/10/18,19:09:00,53.6,53.59,27.0,691.0
11/10/18,19:12:00,53.6,53.59,27.0,691.0
11/10/18,19:15:00,53.6,53.59,27.0,691.0
11/10/18,19:18:00,53.6,53.59,27.0,691.0
11/10/18,19:21:00,53.6,53.59,27.0,691.0
11/10/18,19:24:00,53.6,53.59,27.0,691.0
11/10/18,19:27:00,59.7,59.69,53.6,732.4
11/10/18,19:30:00,59.7,59.69,53.6,732.4
11/10/18,19:33:00,59.7,59.69,53.6,732.4
11/10/18,19:36:00,59.7,59.69,53.6,732.4
11/10/18,19:39:00,59.7,59.69,53.6,732.4
11/10/18,19:42:00,59.7,59.69,53.6,732.4
11/10/18,19:45:00,59.7,59.69,53.6,732.4
11/10/18,19:48:00,59.7,59.69,53.6,732.4
11/10/18,19:51:00,59.7,59.69,53.6,732.4
11/10/18,19:54:00,59.7,59.69,53.6,732.4
11/10/18,19:57:00,59.7,59.69,53.6,732.4
11/10/18,20:03:00,59.7,59.69,53.6,732.4
11/10/18,20:05:59,59.7,59.69,53.6,732.4
11/10/18,20:08:59,59.7,59.69,53.6,732.4
11/10/18,20:12:00,59.7,59.69,53.6,732.4
11/10/18,20:14:59,59.7,59.69,53.6,732.4
11/10/18,20:17:59,59.7,59.69,53.6,732.4
11/10/18,20:21:00,59.7,59.69,53.6,732.4
11/10/18,20:24:00,59.7,59.69,53.6,732.4
11/10/18,20:27:00,59.7,59.69,53.6,732.4
11/10/18,20:30:00,59.7,59.69,53.6,732.4
11/10/18,20:33:00,59.7,59.69,53.6,732.4
11/10/18,20:36:00,59.7,59.69,53.6,732.4
11/10/18,20:39:00,59.7,59.69,53.6,732.4
11/10/18,20:42:00,59.7,59.69,53.6,732.4
11/10/18,20:45:00,59.7,59.69,53.6,732.4
11/10/18,20:48:00,59.7,59.69,53.6,732.4
11/10/18,20:51:00,59.7,59.69,53.6,732.4
11/10/18,20:54:00,59.7,59.69,53.6,732.4
11/10/18,20:57:00,59.7,59.69,53.6,732.4
11/10/18,21:03:00,59.7,59.69,53.6,732.4
11/10/18,21:06:00,59.7,59.69,53.6,732.4
11/10/18,21:09:00,59.7,59.69,53.6,732.4
11/10/18,21:12:00,59.7,59.69,53.6,732.4
11/10/18,21:15:00,59.7,59.69,53.6,732.4
11/10/18,21:18:00,59.7,59.69,53.6,732.4
11/10/18,21:21:00,59.7,59.69,53.6,732.4
11/10/18,21:24:00,59.7,59.69,53.6,732.4
11/10/18,21:27:00,59.7,59.69,53.6,732.4
11/10/18,21:29:59,59.7,59.69,53.6,732.4
11/10/18,21:32:59,59.7,59.69,53.6,732.4
11/10/18,21:36:00,59.7,59.69,53.6,732.4
11/10/18,21:39:00,59.7,59.69,53.6,732.4
11/10/18,21:42:00,59.7,59.69,53.6,732.4
11/10/18,21:44:59,59.7,59.69,53.6,732.4
11/10/18,21:48:00,59.7,59.69,53.6,732.4
11/10/18,21:51:00,59.7,59.69,53.6,732.4
11/10/18,21:54:00,59.7,59.69,53.6,732.4
11/10/18,21:57:00,59.7,59.69,53.6,732.4
11/10/18,22:03:00,59.7,59.69,53.6,732.4
11/10/18,22:06:00,59.7,59.69,53.6,732.4
11/10/18,22:09:00,59.7,59.69,53.6,732.4
11/10/18,22:12:00,59.7,59.69,53.6,732.4
11/10/18,22:15:00,59.7,59.69,53.6,732.4
11/10/18,22:18:00,59.7,59.69,53.6,732.4
11/10/18,22:21:00,59.7,59.69,53.6,732.4
11/10/18,22:24:00,59.7,59.69,53.6,732.4
11/10/18,22:27:00,59.7,59.69,53.6,732.4
11/10/18,22:30:00,59.7,59.69,53.6,732.4
11/10/18,22:33:00,59.7,59.69,53.6,732.4
11/10/18,22:36:00,59.7,59.69,53.6,732.4
